month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
12,7,2015,AM,14.0,12.2,0.0,0.22965879416666668,24.8548476,3.9269908169872414
12,7,2015,PM,15.8,14.0,0.0,0.3280839916666667,15.53427975,3.5342917352885173
12,7,2015,night,24.8,17.6,0.0,0.8858267775,31.0685595,3.9269908169872414
12,8,2015,AM,24.8,21.2,0.0,2.2965879416666666,68.35083089999999,3.5342917352885173
12,8,2015,PM,14.0,14.0,0.0,1.2467191683333334,52.816551149999995,3.141592653589793
12,8,2015,night,21.2,8.599999999999998,0.0,1.4435695633333332,55.9234071,3.9269908169872414
12,9,2015,AM,6.800000000000001,6.800000000000001,0.0,1.377952765,59.030263049999995,3.5342917352885173
12,9,2015,PM,6.800000000000001,5.0,0.0,0.5249343866666667,34.175415449999996,3.141592653589793
12,9,2015,night,14.0,10.399999999999999,0.0,0.06561679833333334,18.6411357,5.105088062083414
12,10,2015,AM,10.399999999999999,8.599999999999998,0.0,0.78740158,55.9234071,4.319689898685965
12,10,2015,PM,8.599999999999998,5.0,0.0,1.4107611641666669,34.175415449999996,3.9269908169872414
12,10,2015,night,5.0,5.0,0.0,0.4921259875,21.74799165,4.319689898685965
12,11,2015,AM,6.800000000000001,6.800000000000001,0.0,0.03280839916666667,9.32056785,4.71238898038469
12,11,2015,PM,6.800000000000001,6.800000000000001,0.0,0.0,0.0,1.9634954084936207
12,11,2015,night,6.800000000000001,6.800000000000001,0.0,0.0,12.4274238,3.141592653589793
12,12,2015,AM,8.599999999999998,8.599999999999998,0.0,0.2952755925,27.96170355,4.319689898685965
12,12,2015,PM,12.2,8.599999999999998,0.0,0.9186351766666667,62.137119,3.9269908169872414
12,12,2015,night,6.800000000000001,5.0,0.0,1.771653555,40.389127349999995,3.9269908169872414
12,13,2015,AM,6.800000000000001,5.0,0.0,1.2795275675,37.2822714,3.9269908169872414
12,13,2015,PM,5.0,5.0,0.0,0.9186351766666667,15.53427975,3.141592653589793
12,13,2015,night,3.1999999999999993,3.1999999999999993,0.0,0.6233595841666667,12.4274238,3.141592653589793
12,14,2015,AM,5.0,5.0,0.0,0.22965879416666668,9.32056785,1.9634954084936207
12,14,2015,PM,8.599999999999998,6.800000000000001,0.0,0.03280839916666667,18.6411357,1.9634954084936207
12,14,2015,night,12.2,10.399999999999999,0.0,0.0,15.53427975,1.9634954084936207
